l1_data_hits mean,l1_data_hits std,l1_data_misses mean,l1_data_misses std,l1_instruction_hits mean,l1_instruction_hits std,l1_instruction_misses mean,l1_instruction_misses std,l2_hits mean,l2_hits std,l2_misses mean,l2_misses std,l1_energy_consumption mean,l1_energy_consumption std,l2_energy_consumption mean,l2_energy_consumption stdtotal_energy_consumption mean,total_energy_consumption std,total_time mean,total_time std,average_memory_access_time mean,average_memory_access_time std
189609.9,0.5385164807134505,1022.1,0.5385164807134504,807013.0,0.0,2355.0,0.0,2578.2,0.6,798.9,0.7,0.001058227813,1.2278785982744377e-07,0.00048242597740000005,9.112352438223048e-08,0.0021490119247999998,8.195107457747493e-07,0.000558227813,1.227878598274212e-07,0.5559063480159684,0.00012193698160564557
189610.45,0.6689544080129827,1021.55,0.6689544080129827,807013.0,0.0,2355.0,0.0,2578.6,0.5830951894845301,797.95,1.0712142642814273,0.0010579964065,2.4715864844827976e-07,0.00048224300370000003,1.939874306227372e-07,0.0021474795173999995,1.6383135752336888e-06,0.0005579964065,2.471586484482234e-07,0.5556767335938323,0.00024526943673106917
189610.63333333333,0.6046119049072352,1021.3666666666667,0.604611904907235,807013.0,0.0,2355.0,0.0,2578.733333333333,0.5120763831912406,797.6333333333333,0.9826268648655785,0.0010579192709999998,2.2940074626955017e-07,0.0004821820124666667,1.80353199528361e-07,0.002146968714933333,1.5202694609077856e-06,0.000557919271,2.2940074626949757e-07,0.5556001954531203,0.0002276420546169192
214959.0,0.0,864.0,0.0,781217.0,0.0,2962.0,0.0,2852.0,0.0,974.0,0.0,0.0010688085000000003,0.0,0.0004952792150000002,0.0,0.002214557075000001,0.0,0.0005688075000000001,0.0,0.5660891399499605,1.1102230246251565e-16
214959.0,0.0,864.0,0.0,781217.0,0.0,2962.0,0.0,2852.0,0.0,974.0,0.0,0.0010688085000000003,0.0,0.0004952792150000002,0.0,0.0022145570750000004,4.336808689942018e-19,0.0005688075000000002,1.0842021724855044e-19,0.5660891399499605,1.1102230246251565e-16
214959.0,0.0,864.0,0.0,781217.0,0.0,2962.0,0.0,2852.0,0.0,974.0,0.0,0.0010688085000000003,0.0,0.0004952792150000002,0.0,0.0022145570750000004,4.336808689942018e-19,0.0005688075000000002,1.0842021724855044e-19,0.5660891399499604,0.0
241911.4,1.1135528725660042,2895.6,1.1135528725660044,750732.0,0.0,4461.0,0.0,4763.5,2.202271554554524,2593.1,2.9137604568666933,0.001174066868,1.3207134755883013e-07,0.0006264817429,1.201619261117633e-07,0.0028633718572999996,8.590543454901118e-07,0.0006740668680000001,1.320713475588037e-07,0.6674261773172417,0.00012847016655826373
241911.8,0.9797958971132713,2895.2,0.9797958971132713,750732.0,0.0,4461.0,0.0,4767.45,4.352872614722374,2588.75,4.9585784253150615,0.0011737286040000002,3.6193281131521e-07,0.0006261895699500002,3.2053201779878773e-07,0.0028611566611500003,2.36637444383646e-06,0.000673728604,3.619328113151849e-07,0.6670943818337494,0.000354841424513328
241912.2,0.9797958971132713,2894.8,0.9797958971132713,750732.0,0.0,4461.0,0.0,4771.633333333333,6.901610118097244,2584.1666666666665,7.642352750008048,0.0011732635693333332,7.210025813693553e-07,0.0006258190932999998,5.856618017365211e-07,0.0028580799207666664,4.760862818701809e-06,0.0006732635693333333,7.210025813693492e-07,0.6666372118499028,0.0007084845888427042
252739.0,2.0,5010.0,2.0,739440.6,0.9165151389911681,2813.4,0.9165151389911681,6464.0,4.0,1359.4,3.746998799039039,0.0011196966105000003,4.2286128816343e-07,0.0005944642519,3.2302701762066623e-07,0.0024922766648000005,2.813878232953269e-06,0.0006196951105000001,4.228612881634521e-07,0.6140545271712259,0.0004171803628012648
252741.5,2.8722813232690143,5007.5,2.8722813232690143,739440.3,0.7141428428542851,2813.7,0.7141428428542851,6482.0,18.2208671582886,1339.2,20.373021376320203,0.0011174775552500002,2.2391096527563197e-06,0.00059266564595,1.813051734074927e-06,0.002477625982400001,1.4785176703057131e-05,0.0006174760552499999,2.239109652756284e-06,0.6118692034136449,0.002205143907549151
252742.33333333334,2.6246692913372702,5006.666666666667,2.6246692913372702,739440.2,0.6000000000000001,2813.8,0.6000000000000001,6488.0,17.126976771553505,1332.4666666666667,19.167217383392458,0.0011167378701666668,2.10634186914726e-06,0.0005920661106333331,1.7059668574787693e-06,0.0024727424216000006,1.3908006049335193e-05,0.0006167363701666668,2.106341869147226e-06,0.6111407621611179,0.002074373741341445
228208.0,0.0,2033.0,0.0,769542.0,0.0,217.0,0.0,656.0,0.0,1594.0,0.0,0.0010958370000000001,0.0,0.0005089602800000001,0.0,0.0024012870399999996,4.336808689942018e-19,0.0005958370000000001,0.0,0.5935553731456283,0.0
228208.0,0.0,2033.0,0.0,769542.0,0.0,217.0,0.0,656.0,0.0,1594.0,0.0,0.001095837,2.168404344971009e-19,0.0005089602800000001,0.0,0.0024012870399999996,4.336808689942018e-19,0.0005958370000000001,0.0,0.5935553731456283,0.0
228208.0,0.0,2033.0,0.0,769542.0,0.0,217.0,0.0,656.0,0.0,1594.0,0.0,0.001095837,2.168404344971009e-19,0.0005089602800000001,0.0,0.0024012870400000005,4.336808689942018e-19,0.0005958370000000002,1.0842021724855044e-19,0.5935553731456281,2.220446049250313e-16
265481.8,9.99799979995999,13302.2,9.99799979995999,721093.0,0.0,123.0,0.0,7355.8,21.14615804348393,6069.4,18.655830187906407,0.0014883634210000002,1.5315360993995516e-06,0.0009940196803000002,1.2319573977717728e-06,0.004825031050100001,1.0131963733816156e-05,0.000988363421,1.5315360993995516e-06,0.9694640791188338,0.0014846459221855507
